#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Mycosphaerella eumusae","CBS 114824",SAMN03842022 ,PRJNA289096,"Fungi","Ascomycetes",47.1195,47.9,GCA_001578235.1 ,-,LFZN01,2626,10939,12632,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/235/GCA_001578235.1_ASM157823v1
"Pseudocercospora musae","CBS 116634",SAMN03842026 ,PRJNA289098,"Fungi","Ascomycetes",60.4392,44,GCA_001578225.1 ,-,LFZO01,3331,10402,13129,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/225/GCA_001578225.1_ASM157822v1
"Ditylenchus destructor","",SAMN04497895 ,PRJNA312427,"Animals","Roundworms",111.138,36.1,GCA_001579705.1 ,-,LSTP01,1761,-,-,2016/03/03,2016/03/03,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/705/GCA_001579705.1_ASM157970v1
"Phaffia rhodozyma","CBS 7918",SAMN04456988 ,PRJNA306035,"Fungi","Basidiomycetes",18.7577,47.2,GCA_001579715.1 ,-,LSVH01,345,-,-,2016/03/03,2016/11/14,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/715/GCA_001579715.1_ASM157971v1
"Bactrocera latifrons","",SAMN05727007 ,PRJNA351211,"Animals","Insects",462.505,37.0997,GCA_001853355.1 ,mitochondrion MT:NC_029466.1/KT881556.1,MIMC01,3306,13977,22638,2016/10/25,2016/10/25,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/853/355/GCF_001853355.1_ASM185335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/853/355/GCA_001853355.1_ASM185335v1
"Cryptosporidium baileyi","TAMU-09Q1",SAMN02382006 ,PRJNA222835,"Protists","Apicomplexans",8.49364,24.2,GCA_001593455.1 ,-,JIBL01,145,-,-,2016/03/17,2016/03/17,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/455/GCA_001593455.1_CryBaiTAMU-09Q1-1.0
"Miniopterus natalensis","",SAMN03652541 ,PRJNA317472,"Animals","Mammals",1803.1,42.4,GCA_001595765.1 ,-,LDJU01,1269,22891,29787,2016/03/22,2016/03/22,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/595/765/GCF_001595765.1_Mnat.v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/595/765/GCA_001595765.1_Mnat.v1
"Phoebis sennae","",SAMN04386831 ,PRJNA308118,"Animals","Insects",287.49,31.8,GCA_001586405.1 ,-,LQNK01,3484,-,-,2016/03/10,2016/03/10,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/405/GCA_001586405.1_3314_assembly_v1
"Sphaeroforma sirkka","",SAMN04318421 ,PRJNA305168,"Protists","Other Protists",85.4945,41.4,GCA_001586965.1 ,-,LUCW01,44485,-,-,2016/03/11,2016/03/11,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/586/965/GCA_001586965.1_ASM158696v1
"Xeromyces bisporus","FRR 0525",SAMEA2500982 ,PRJEB6149,"Fungi","Ascomycetes",22.0328,49.5359,GCA_900006255.1 ,mitochondrion Xbisp_mitochondrion:HG983520.1,CCCX01,572,-,-,2014/12/30,2014/12/30,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/006/255/GCA_900006255.1_Xbisp_v1.0
"Peltaster fructicola","LNHT1506",SAMN04012580 ,PRJNA293964,"Fungi","Ascomycetes",19.0249,51.9,GCA_001592805.1 ,-,LJAO01,14,-,-,2016/03/15,2016/03/15,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/592/805/GCA_001592805.1_ASM159280v1
"Saccharomycopsis malanga","JCM 7620",SAMD00028337 ,PRJDB3617,"Fungi","Ascomycetes",16.7197,37.8,GCA_001599215.1 ,-,BCGJ01,44,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/215/GCA_001599215.1_JCM_7620_assembly_v001
"[Candida] carpophila","JCM 9396",SAMD00028338 ,PRJDB3618,"Fungi","Ascomycetes",10.2429,47.4,GCA_001599235.1 ,-,BCGK01,10,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/235/GCA_001599235.1_JCM_9396_assembly_v001
"[Candida] succiphila","JCM 9445",SAMD00028339 ,PRJDB3619,"Fungi","Ascomycetes",12.1499,40.9,GCA_001599255.1 ,-,BCGL01,22,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/255/GCA_001599255.1_JCM_9445_assembly_v001
"Wickerhamiella domercqiae","JCM 9478",SAMD00028340 ,PRJDB3620,"Fungi","Ascomycetes",8.47081,48.4,GCA_001599275.1 ,-,BCGM01,4,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/275/GCA_001599275.1_JCM_9478_assembly_v001
"Sporopachydermia quercuum","JCM 9486",SAMD00028341 ,PRJDB3621,"Fungi","Ascomycetes",16.4115,36.2,GCA_001599295.1 ,-,BCGN01,15,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/295/GCA_001599295.1_JCM_9486_assembly_v001
"Nakazawaea peltata","JCM 9829",SAMD00028344 ,PRJDB3624,"Fungi","Ascomycetes",11.6538,40.5,GCA_001599355.1 ,-,BCGQ01,11,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/355/GCA_001599355.1_JCM_9829_assembly_v001
"Phoma herbarum","JCM 15942",SAMD00028345 ,PRJDB3625,"Fungi","Ascomycetes",39.2636,51.7,GCA_001599375.1 ,-,BCGR01,218,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/375/GCA_001599375.1_JCM_15942_assembly_v001
"Scheffersomyces lignosus","JCM 9837",SAMD00028346 ,PRJDB3626,"Fungi","Ascomycetes",16.5925,41.2,GCA_001599395.1 ,-,BCGS01,19,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/395/GCA_001599395.1_JCM_9837_assembly_v001
"Aspergillus awamori var. piceus","JCM 22320",SAMD00028348 ,PRJDB3628,"Fungi","Ascomycetes",36.0627,48.8,GCA_001599415.1 ,-,BCGT01,35,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/415/GCA_001599415.1_JCM_22320_assembly_v001
"Chalaropsis thielavioides","JCM 1933",SAMD00028349 ,PRJDB3629,"Fungi","Ascomycetes",23.333,52.1,GCA_001599435.1 ,-,BCGU01,12,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/435/GCA_001599435.1_JCM_1933_assembly_v001
"Memnoniella echinata","JCM 22618",SAMD00028361 ,PRJDB3641,"Fungi","Ascomycetes",43.682,49.8,GCA_001599555.1 ,-,BCHF01,106,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/555/GCA_001599555.1_JCM_22618_assembly_v001
"Beverwykella pulmonaria","JCM 9230",SAMD00028363 ,PRJDB3643,"Fungi","Ascomycetes",45.9662,48.2,GCA_001599595.1 ,-,BCHH01,50,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/595/GCA_001599595.1_JCM_9230_assembly_v001
"Actinomucor elegans","JCM 22485",SAMD00028366 ,PRJDB3646,"Fungi","Other Fungi",34.1712,35.9,GCA_001599635.1 ,-,BCHK01,192,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/635/GCA_001599635.1_JCM_22485_assembly_v001
"Golubevia pallescens","JCM 5230",SAMD00028370 ,PRJDB3650,"Fungi","Basidiomycetes",27.7563,43.2,GCA_001599655.1 ,-,BCHO01,63,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/655/GCA_001599655.1_JCM_5230_assembly_v001
"Basipetospora chlamydospora","JCM 23157",SAMD00028371 ,PRJDB3651,"Fungi","Ascomycetes",33.4899,55.7,GCA_001599675.1 ,-,BCHP01,17,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/675/GCA_001599675.1_JCM_23157_assembly_v001
"Phaeotremella skinneri","JCM 9039",SAMD00028375 ,PRJDB3655,"Fungi","Basidiomycetes",20.7883,50.2,GCA_001599695.1 ,-,BCHT01,58,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/695/GCA_001599695.1_JCM_9039_assembly_v001
"Phaeotremella fagi","JCM 13614",SAMD00028376 ,PRJDB3656,"Fungi","Basidiomycetes",22.6499,42.4,GCA_001599715.1 ,-,BCHU01,30,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/715/GCA_001599715.1_JCM_13614_assembly_v001
"Gliomastix tumulicola","JCM 17184",SAMD00028379 ,PRJDB3659,"Fungi","Ascomycetes",42.3854,54.8,GCA_001599755.1 ,-,BCHX01,72,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/755/GCA_001599755.1_JCM_17184_assembly_v001
"Exophiala alcalophila","JCM 1751",SAMD00028380 ,PRJDB3660,"Fungi","Ascomycetes",29.8536,54.1,GCA_001599775.1 ,-,BCHY01,12,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/775/GCA_001599775.1_JCM_1751_assembly_v001
"Exophiala calicioides","JCM 6030",SAMD00028381 ,PRJDB3661,"Fungi","Ascomycetes",36.3667,52.8,GCA_001599795.1 ,-,BCHZ01,37,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/795/GCA_001599795.1_JCM_6030_assembly_v001
"Acremonium furcatum","JCM 9210",SAMD00028382 ,PRJDB3662,"Fungi","Ascomycetes",40.3207,57.7,GCA_001599815.1 ,-,BCIA01,9,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/815/GCA_001599815.1_JCM_9210_assembly_v001
"Thermoascus crustaceus","JCM 12817",SAMD00028384 ,PRJDB3664,"Fungi","Ascomycetes",31.6443,49.2,GCA_001599835.1 ,-,BCIC01,33,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/835/GCA_001599835.1_JCM_12817_assembly_v001
"Aspergillus chevalieri","JCM 23047",SAMD00028386 ,PRJDB3666,"Fungi","Ascomycetes",28.0052,48,GCA_001599875.1 ,-,BCIE01,75,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/875/GCA_001599875.1_JCM_23047_assembly_v001
"Priceomyces haplophilus","JCM 1635",SAMD00028387 ,PRJDB3667,"Fungi","Ascomycetes",10.5171,41,GCA_001599895.1 ,-,BCIF01,9,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/895/GCA_001599895.1_JCM_1635_assembly_v001
"Symbiotaphrina buchneri","JCM 9740",SAMD00028388 ,PRJDB3668,"Fungi","Ascomycetes",23.7121,51.6,GCA_001599915.1 ,-,BCIG01,169,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/915/GCA_001599915.1_JCM_9740_assembly_v001
"Holtermannia corniformis","JCM 1743",SAMD00028391 ,PRJDB3671,"Fungi","Basidiomycetes",20.7218,55.2,GCA_001599935.1 ,-,BCIJ01,129,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/935/GCA_001599935.1_JCM_1743_assembly_v001
"Cystobasidium pallidum","JCM 3780",SAMD00028393 ,PRJDB3673,"Fungi","Basidiomycetes",21.7214,49.7,GCA_001599955.1 ,-,BCIL01,69,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/955/GCA_001599955.1_JCM_3780_assembly_v001
"Cystobasidiopsis lactophilus","JCM 7595",SAMD00028396 ,PRJDB3676,"Fungi","Basidiomycetes",22.1806,56.2,GCA_001599975.1 ,-,BCIO01,19,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/975/GCA_001599975.1_JCM_7595_assembly_v001
"Ambrosiozyma monospora","JCM 7599",SAMD00028397 ,PRJDB3677,"Fungi","Ascomycetes",24.9784,37.2,GCA_001599995.1 ,-,BCIP01,118,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/995/GCA_001599995.1_JCM_7599_assembly_v001
"Solicoccozyma phenolicus","JCM 11743",SAMD00028400 ,PRJDB3680,"Fungi","Basidiomycetes",22.2635,54.9,GCA_001600015.1 ,-,BCIS01,71,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/015/GCA_001600015.1_JCM_11743_assembly_v001
"Holtermanniella nyarrowii","JCM 11471",SAMD00028401 ,PRJDB3681,"Fungi","Basidiomycetes",17.7354,52.7,GCA_001600035.1 ,-,BCIT01,33,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/035/GCA_001600035.1_JCM_11471_assembly_v001
"Filobasidium wieringae","JCM 11695",SAMD00028403 ,PRJDB3683,"Fungi","Basidiomycetes",19.7813,49.9,GCA_001600055.1 ,-,BCIV01,36,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/055/GCA_001600055.1_JCM_11695_assembly_v001
"Yarrowia deformans","JCM 1694",SAMD00028404 ,PRJDB3684,"Fungi","Ascomycetes",20.8771,50,GCA_001600075.1 ,-,BCIW01,44,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/075/GCA_001600075.1_JCM_1694_assembly_v001
"Bullera alba","JCM 2954",SAMD00028405 ,PRJDB3685,"Fungi","Basidiomycetes",19.4173,54.3,GCA_001600095.1 ,-,BCIX01,8,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/095/GCA_001600095.1_JCM_2954_assembly_v001
"Erythrobasidium yunnanense","JCM 10687",SAMD00028410 ,PRJDB3690,"Fungi","Basidiomycetes",20.9305,51,GCA_001600175.1 ,-,BCJC01,11,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/175/GCA_001600175.1_JCM_10687_assembly_v001
"Yarrowia keelungensis","JCM 14894",SAMD00028411 ,PRJDB3795,"Fungi","Ascomycetes",21.8244,48,GCA_001600195.1 ,-,BCJD01,41,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/195/GCA_001600195.1_JCM_14894_assembly_v001
"Vanrija humicola","JCM 1457",SAMD00028413 ,PRJDB3692,"Fungi","Basidiomycetes",22.6538,62.7,GCA_001600235.1 ,-,BCJF01,10,-,-,2016/03/01,2016/06/16,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/235/GCA_001600235.1_JCM_1457_assembly_v001
"Apiotrichum porosum","JCM 1458",SAMD00028414 ,PRJDB3693,"Fungi","Basidiomycetes",25.9893,59,GCA_001600255.1 ,-,BCJG01,37,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/255/GCA_001600255.1_JCM_1458_assembly_v001
"Apiotrichum brassicae","JCM 1599",SAMD00028416 ,PRJDB3695,"Fungi","Basidiomycetes",23.6477,56.5,GCA_001600295.1 ,-,BCJI01,16,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/295/GCA_001600295.1_JCM_1599_assembly_v001
"Apiotrichum gamsii","JCM 9941",SAMD00028424 ,PRJDB3703,"Fungi","Basidiomycetes",24.6094,61.1,GCA_001600315.1 ,-,BCJN01,29,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/315/GCA_001600315.1_JCM_9941_assembly_v001
"Apiotrichum gracile","JCM 10018",SAMD00028425 ,PRJDB3704,"Fungi","Basidiomycetes",24.1149,59.2,GCA_001600335.1 ,-,BCJO01,17,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/335/GCA_001600335.1_JCM_10018_assembly_v001
"Meira nashicola","JCM 18503",SAMD00028432 ,PRJDB3711,"Fungi","Basidiomycetes",18.0157,40,GCA_001600355.1 ,-,BCJU01,58,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/355/GCA_001600355.1_JCM_18503_assembly_v001
"Candida versatilis","JCM 5958",SAMD00028433 ,PRJDB3712,"Fungi","Ascomycetes",9.31303,44.8,GCA_001600375.1 ,-,BCJV01,19,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/375/GCA_001600375.1_JCM_5958_assembly_v001
"Phyllosticta capitalensis","Gm33",SAMN04244515 ,PRJNA301361,"Fungi","Ascomycetes",32.4544,54.6,GCA_001604925.1 ,-,LOEO01,1341,-,-,2016/03/31,2016/03/31,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/925/GCA_001604925.1_ASM160492v1
"Lepidothrix coronata","",SAMN04274560 ,PRJNA338288,"Animals","Birds",1079.58,41.9,GCA_001604755.1 ,-,LVWP01,4612,18695,36671,2016/03/31,2016/03/31,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/604/755/GCF_001604755.1_Lepidothrix_coronata-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/604/755/GCA_001604755.1_Lepidothrix_coronata-1.0
"Trachymyrmex zeteki","",SAMN03982884 ,PRJNA343251,"Animals","Insects",267.973,34.9,GCA_001594055.1 ,-,LKFA01,4623,11995,18778,2016/03/17,2016/03/31,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/055/GCF_001594055.1_Tzet1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/055/GCA_001594055.1_Tzet1.0
"Hypsizygus marmoreus","51987-8",SAMN04497827 ,PRJNA312409,"Fungi","Basidiomycetes",41.6261,48.7,GCA_001605315.1 ,-,LUEZ01,340,15561,15561,2016/03/31,2016/03/31,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/315/GCA_001605315.1_ASM160531v1
"Atta colombica","",SAMN03982875 ,PRJNA343260,"Animals","Insects",291.258,32.9,GCA_001594045.1 ,-,LKEW01,1550,11134,16933,2016/03/17,2016/03/25,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/045/GCF_001594045.1_Acol1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/045/GCA_001594045.1_Acol1.0
"Cyphomyrmex costatus","",SAMN03982885 ,PRJNA343963,"Animals","Insects",300.317,35.3,GCA_001594065.1 ,-,LKEX01,15379,12418,15690,2016/03/17,2016/03/25,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/065/GCF_001594065.1_Ccosl1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/065/GCA_001594065.1_Ccosl1.0
"Trachymyrmex cornetzi","",SAMN03982882 ,PRJNA343972,"Animals","Insects",369.438,36,GCA_001594075.1 ,-,LKEY01,19761,13700,21290,2016/03/17,2016/03/25,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/075/GCF_001594075.1_Tcor1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/075/GCA_001594075.1_Tcor1.0
"Trachymyrmex septentrionalis","",SAMN03982881 ,PRJNA343973,"Animals","Insects",291.747,34.7,GCA_001594115.1 ,-,LKEZ01,5836,12000,20394,2016/03/17,2016/03/25,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/115/GCF_001594115.1_Tsep1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/594/115/GCA_001594115.1_Tsep1.0
"Cairneyella variabilis","VPRI 42388",SAMN04263868 ,PRJNA225634,"Fungi","Ascomycetes",50.6936,47.6,GCA_001625345.1 ,-,AYLM01,3371,-,-,2016/04/21,2016/04/21,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/625/345/GCA_001625345.1_ASM162534v1
"Apiotrichum montevideense","JCM 9937",SAMD00027179 ,PRJDB3572,"Fungi","Basidiomycetes",24.8722,58.2,GCA_001598995.1 ,-,BCFV01,61,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/995/GCA_001598995.1_JCM_9937_assembly_v001
"Apiotrichum domesticum","JCM 9580",SAMD00028323 ,PRJDB3573,"Fungi","Basidiomycetes",24.5109,58.5,GCA_001599015.1 ,-,BCFW01,28,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/015/GCA_001599015.1_JCM_9580_assembly_v001
"Thielaviopsis paradoxa","JCM 6020",SAMD00028365 ,PRJDB3645,"Fungi","Ascomycetes",29.6344,49,GCA_001599615.1 ,-,BCHJ01,30,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/615/GCA_001599615.1_JCM_6020_assembly_v001
"Ambrosiozyma kashinagacola","JCM 15019",SAMD00028327 ,PRJDB3608,"Fungi","Ascomycetes",12.321,36.1,GCA_001599075.1 ,-,BCGA01,23,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/075/GCA_001599075.1_JCM_15019_assembly_v001
"[Candida] homilentoma","JCM 1507",SAMD00028329 ,PRJDB3610,"Fungi","Ascomycetes",12.1768,49.4,GCA_001599095.1 ,-,BCGB01,8,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/095/GCA_001599095.1_JCM_1507_assembly_v001
"Candida sorboxylosa","JCM 1536",SAMD00028330 ,PRJDB3611,"Fungi","Ascomycetes",10.7149,38.2,GCA_001599115.1 ,-,BCGC01,37,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/115/GCA_001599115.1_JCM_1536_assembly_v001
"[Candida] intermedia","CBS 141442",SAMEA4029010 ,PRJEB14359,"Fungi","Ascomycetes",13.1621,43.5298,GCA_900106115.1 ,chromosome I:LT635756.1; chromosome II:LT635757.1; chromosome III:LT635758.1; chromosome IV:LT635759.1; chromosome V:LT635760.1; chromosome VI:LT635761.1; chromosome VII:LT635762.1; mitochondrion M:LT635763.1,-,8,5936,5931,2016/11/25,2016/11/25,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/115/GCA_900106115.1_CBS_141442_assembly
"Wickerhamia fluorescens","JCM 1821",SAMD00028332 ,PRJDB3613,"Fungi","Ascomycetes",13.1785,37.3,GCA_001599155.1 ,-,BCGE01,20,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/155/GCA_001599155.1_JCM_1821_assembly_v001
"Pestalotiopsis sp. JCM 9685","JCM 9685",SAMD00028333 ,PRJDB3782,"Fungi","Ascomycetes",48.23,51.6,GCA_001599175.1 ,-,BCGF01,13,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/175/GCA_001599175.1_JCM_9685_assembly_v001
"Cyberlindnera fabianii","JCM 3601",SAMD00028336 ,PRJDB3616,"Fungi","Ascomycetes",12.3038,44.2,GCA_001599195.1 ,-,BCGI01,12,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/195/GCA_001599195.1_JCM_3601_assembly_v001
"Yarrowia sp. JCM 30694","JCM 30694",SAMD00028701 ,PRJDB3798,"Fungi","Ascomycetes",21.7583,46,GCA_001600515.1 ,-,BCKF01,19,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/515/GCA_001600515.1_JCM_30694_assembly_v001
"Yarrowia sp. JCM 30696","JCM 30696",SAMD00028702 ,PRJDB3799,"Fungi","Ascomycetes",21.7505,47.9,GCA_001600535.1 ,-,BCKG01,39,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/535/GCA_001600535.1_JCM_30696_assembly_v001
"Albophoma yamanashiensis","JCM 11844",SAMD00028762 ,PRJDB3823,"Fungi","Ascomycetes",31.3906,56.7,GCA_001600555.1 ,-,BCKH01,66,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/555/GCA_001600555.1_JCM_11844_assembly_v001
"Didymobotryum rigidum","JCM 8837",SAMD00028763 ,PRJDB3824,"Fungi","Ascomycetes",41.7297,54.7,GCA_001600575.1 ,-,BCKI01,31,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/575/GCA_001600575.1_JCM_8837_assembly_v001
"Apiotrichum veenhuisii","JCM 10691",SAMD00031909 ,PRJDB3717,"Fungi","Basidiomycetes",31.6177,59.6,GCA_001600595.1 ,-,BCKJ01,35,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/595/GCA_001600595.1_JCM_10691_assembly_v001
